id,fileName,details,type,previewsMirrors,path,fileMirrors
XEYE_8335ef46-14cd-4044-9bf1-11c756e76a50,Capítulo 8 Una transformación a.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 8 Una transformación a.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDkWdcOKtzuWQqU_6rJkvY_vfkJEaYAAIvAAPpu3FEWa_8cRFSjqE2BA""}"
XEYE_0cc87f00-3e8e-4935-8604-3d0ba8cab284,Capítulo 9 Perdóneme señor robot.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 9 Perdóneme señor robot.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDkmdcOKvondaYN_m_OgHuNRppiaQ7AAIwAAPpu3FE-yY3_4F5s_c2BA""}"
XEYE_c8ea571d-c8eb-4b8c-8c35-82ebea0962c0,Capítulo 10 No llores Gohan.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 10 No llores Gohan.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDk2dcOKs2cEqEOcKBKfPhbeCLeO6vAAIxAAPpu3FE22lMoB8XnuA2BA""}"
XEYE_a91bee6d-ddc0-4df6-b0a3-01906dcf45dc,Capítulo 11 Los guerreros más.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 11 Los guerreros más.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDlGdcOKtLlQEXTOao0I8wAV6BWcnrAAIyAAPpu3FExGvUwZewZe82BA""}"
XEYE_830fd6fa-ba9e-47f3-a457-f3a8522e8825,"Capítulo 12 Una pequeña siesta,.video",,VIDEO,{},"XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 12 Una pequeña siesta,.video","{""@xeye_1_bot"":""BAACAgEAAxkBAAIDlWdcOKvJXlJSuZsuh4ozP3q23pmiAAIzAAPpu3FESvfa3w7R82s2BA""}"
XEYE_ea042b15-efd8-42ce-807b-e53100a3f5e4,Capítulo 13 ¡No toques eso!.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 13 ¡No toques eso!.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDlmdcOKt9tVGXH3R-OQwPTpQ-VQM6AAITAAMM_HhE8-hRczfd2P02BA""}"
XEYE_513562ad-1b01-4584-bec7-13d65b069068,Capítulo 14 Una dulce tentación;.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 14 Una dulce tentación;.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDl2dcOKtye7AuqAg7ZEhvMF86hHZlAAIUAAMM_HhEaAoHSNMiAAEONgQ""}"
XEYE_fc203f65-25b9-48dd-ad7b-560487a6b566,Capítulo 15 ¡Escapa de Piccolo!.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 15 ¡Escapa de Piccolo!.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDmGdcOKstV5gSq-Mopq0Z9itFjBVOAAIVAAMM_HhE1ZXsNNHhdzE2BA""}"
XEYE_3cf9dc66-bb9e-4719-bf80-594094e58a64,Capítulo 16 ¡Corre Gohan! Milk.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 16 ¡Corre Gohan! Milk.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDmWdcOKsGcPWb06yyuaMZdhWa4sGDAAIWAAMM_HhEkWkKB1H76N42BA""}"
XEYE_03975d24-ee1e-4b47-920c-347eb043a270,Capítulo 17 ¡Una ciudad sin.video,,VIDEO,{},XEYE:/Series/Anime/Dragón Ball Z/Saga de los Sayayin/Capítulo 17 ¡Una ciudad sin.video,"{""@xeye_1_bot"":""BAACAgEAAxkBAAIDmmdcOKvhMM0QOE24Qvl46aoi3EMCAAIXAAMM_HhEnuaRV9_x2YQ2BA""}"
